停止信号任务-ssrt,停止信号任务-go_rt,停止信号任务-rt_variability,第1题,第2题,第3题,第4题,第5题,第6题,第7题,第8题,第9题,第10题,第12题,第13题,第14题,第15题,第16题,第17题,第18题,第19题,第20题,第21题,第22题,第23题,第24题,第25题,第26题,第27题,第28题,第30题,第31题,第32题,第33题,第34题,第35题,第36题,性别,危机-自己,问题-抑郁,问题-焦虑
332.5,733.7289719626168,0.1844122215787765,4,3,2,2,4,4,3,3,2,2,3,4,2,2,3,2,2,3,3,2,2,2,1,1,1,3,2,2,4,3,2,3,2,1,0,3.75,2.5,2.75
255.0,896.9166666666666,0.095034947316449,4,2,4,5,4,3,4,4,2,2,2,2,1,1,4,4,5,4,3,5,3,1,1,1,2,3,4,4,1,3,1,3,1,3,0,1.0,2.5,2.25
275.5,739.969387755102,0.2386918288077093,1,5,1,5,2,1,3,1,3,1,3,1,2,1,4,5,3,2,1,5,1,5,1,1,1,4,4,4,1,3,3,3,2,5,0,2.5,1.0,1.0
267.5,678.3153526970955,0.1954199792926459,1,2,3,2,5,5,2,2,4,1,1,1,1,1,2,5,3,4,2,3,1,3,2,1,2,4,3,5,1,1,5,2,1,3,1,2.25,3.5,3.5
315.5,761.7049180327868,0.16057595579067,2,2,3,5,4,3,3,3,1,3,2,1,2,1,3,4,3,3,3,3,1,3,1,1,3,2,4,4,1,3,3,3,2,3,0,1.0,2.0,2.75
347.0,771.9473684210526,0.1821330385592548,2,5,5,5,4,4,3,4,4,1,2,2,2,1,3,2,2,4,3,3,2,3,1,1,1,2,2,2,1,4,2,1,1,4,1,1.0,2.0,2.5
380.0,598.6787003610108,0.1395498715117168,3,2,3,1,4,4,1,3,1,1,2,1,1,1,2,2,1,2,1,3,2,2,1,1,1,3,2,2,1,3,4,2,1,2,0,1.0,1.75,1.5
365.5,630.3893129770993,0.1590873260576362,3,1,2,2,2,3,2,2,2,1,4,2,1,2,3,2,2,2,3,2,4,3,1,2,2,3,2,2,1,2,1,3,1,3,1,3.0,2.0,2.0
300.0,703.8474576271186,0.187682899145781,2,2,3,4,3,2,4,4,5,4,2,1,2,2,2,3,3,4,3,4,3,3,2,1,1,1,4,2,1,3,2,4,2,2,0,1.25,2.0,3.0
364.5,682.7284482758621,0.2320733022058443,1,1,3,4,5,5,1,4,3,3,1,1,1,1,1,2,2,1,1,4,1,3,1,1,1,1,1,3,1,3,3,1,1,3,1,3.0,3.0,3.0
340.5,776.0671936758894,0.1529728563280756,2,5,3,4,4,4,4,2,3,1,2,2,1,2,2,2,2,3,3,3,2,1,1,1,2,1,1,2,1,2,2,1,1,5,0,2.25,3.0,3.25
331.5,710.25,0.1521623538853286,3,1,2,2,3,2,2,1,4,1,3,5,1,3,5,5,2,2,2,2,5,1,1,1,1,1,1,1,2,1,1,5,1,1,0,2.75,3.0,2.5
293.5,835.9488636363636,0.1300847154039396,2,4,4,5,4,4,2,5,3,1,2,1,2,2,2,1,2,2,2,5,1,2,1,1,1,2,1,1,1,4,1,2,2,4,0,1.0,1.75,2.25
397.5,801.4656862745098,0.1767020282178534,2,2,3,5,3,2,3,2,4,2,2,1,1,2,3,3,3,4,3,3,1,1,1,1,1,3,5,2,1,3,2,2,2,3,0,1.5,2.75,2.5
250.0,704.2979591836735,0.1994866624379523,2,4,3,3,4,4,4,3,3,1,1,1,1,1,3,4,3,5,3,3,4,1,1,1,1,1,4,4,1,2,4,1,1,3,0,1.0,2.0,1.75
346.0,568.7871485943775,0.1511235415081687,1,4,2,4,2,3,2,2,3,1,2,3,1,1,2,3,2,4,1,2,2,2,1,1,2,1,3,3,4,2,2,3,1,3,0,3.25,2.25,2.25
266.5,721.9912280701755,0.2029807449997486,1,2,5,3,2,1,3,5,3,1,2,1,1,1,2,2,2,1,3,3,2,3,1,1,1,2,1,2,1,5,1,2,2,3,0,1.0,1.0,1.5
397.0,748.5022624434389,0.181183183725028,3,2,2,3,3,2,4,2,3,2,3,4,2,2,3,3,3,5,2,2,4,2,2,2,1,4,2,3,2,1,2,4,1,1,1,4.5,3.75,3.75
276.5,806.3516483516484,0.1594432913753062,3,1,4,4,5,4,5,4,5,4,2,1,2,2,3,2,5,1,3,3,3,2,1,1,4,4,4,2,1,5,5,1,3,1,1,1.0,1.5,1.25
379.5,698.0219298245614,0.1958837319204414,2,1,3,1,5,2,2,3,3,1,5,1,1,3,2,2,5,1,1,1,2,1,1,1,1,4,1,2,1,2,3,1,1,1,1,1.75,1.75,2.5
